yyyymmdd,lat,long,station_id,acton_id,station_name,elevation,wteq_amt,wteq_med,wteq_amt_pct_med,prec_wytd_amt,prec_wytd_avg,prec_wytd_pctavg,BIG AND LITTLE LOST BASINS,BIG AND LITTLE WOOD BASINS,BITTERROOT,"CHELAN, ENTIAT, WENATCHEE",CLEARWATER AND SALMON,COLUMBIA ABOVE METHOW,"DESCHUTES, CROOKED, JOHN DAY",FLATHEAD RIVER BASIN,"GRAND RONDE, POWDER, BURNT, IMNAHA","HENRYS FORK, TETON, WILLOW, BLACKFOOT, PORTNEUF",IDAHO PANHANDLE REGION,KOOTENAI RIVER IN MONTANA,"LEWIS, COWLITZ",LOWER CLARK FORK RIVER BASIN,"LOWER COLUMBIA, HOOD RIVER",OWYHEE MALHEUR,"RAFT, GOOSE, SALMON FALLS, BRUNEAU",SNAKE ABOVE PALISADES,"UMATILLA, WALLA WALLA, WILLOW",UPPER CLARK FORK RIVER BASIN,"WEISER, PAYETTE, BOISE","WHITE, GREEN, CEDAR, SKYKOMISH, SNOQUALMI, BAKER, SKAGIT",WILLAMETTE,"YAKIMA, AHTANUM"
2011-02-10,43.1666667,-110.13333329999999,597,10F16S,Loomis Park,8240,13.7,10.2,134.0,14.8,12.0,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,43.5166667,-110.91666670000001,689,10F23S,Phillips Bench,8200,21.8,16.9,129.0,23.0,19.5,118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,42.5,-110.91666670000001,730,10G08S,Salt River Summit,7640,11.9,8.5,140.0,15.9,11.4,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,42.533333299999995,-110.66666670000001,779,10G20S,Spring Creek Divide,9000,25.3,15.7,161.0,25.0,16.5,152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,43.75,-110.05,822,10F09S,Togwotee Pass,9580,21.5,15.7,137.0,22.8,16.9,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,44.15,-110.21666670000002,837,10E17S,Two Ocean Plateau,9240,23.9,18.9,126.0,19.9,18.5,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,42.8166667,-110.83333329999999,868,10G23S,Willow Creek,8080,24.1,18.2,132.0,29.3,23.0,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-10,44.5,-111.13333329999999,347,11E35S,Black Bear,8170,30.5,25.6,119.0,30.0,26.5,113.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,44.4333333,-112.0,424,11E37S,Crab Creek,6900,9.5,8.5,112.0,15.5,11.1,140.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,44.1333333,-110.83333329999999,499,10E15S,Grassy Lake,7265,25.3,22.2,114.0,28.2,25.6,110.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
